meter_id,distrib_level_of_interest,option_exclusion,phasewing,sector,tariff_rate_of_interest,tou,utility_id,option_mandatory
4c95836f-6bdb-3adc-ac5e-4c787ae027c7,Secondary,,,Commercial,A-10,TRUE,14328,
4d95d5ce-de62-3449-bd58-4dcad75b526d,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
d2ad6682-8e44-374b-8bfe-9e25960a9be0,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
e9c51ce5-4aa1-399c-8172-92073e273a0b,,"['(X}', '(W}', 'Poly']",,Commercial,A-6,TRUE,14328,
68e04192-e924-36b8-9c5e-f072bd93ed07,Secondary,"['Option R', 'Voluntary']",,Commercial,E-19,TRUE,14328,
849cae1e-5714-34e1-8a4e-ec72ca71b0ab,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
a373b62e-04f3-3c1e-b27d-279f792f4b18,Secondary,,,Commercial,A-10,TRUE,14328,
a22be94b-c525-3442-88d3-936dc58de0be,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
8a2f69f5-38f7-3e39-90bd-370a3aa38b77,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
f9ba6d7e-d730-31d7-95fb-d7ec0e4ab765,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
b31a38a5-659b-35e0-ad67-6ab8253da49a,Secondary,,,Commercial,A-10,TRUE,14328,
83146bd5-7893-3497-a0b8-cfe1af8d9f0f,Secondary,,,Commercial,A-10,TRUE,14328,
d3489cfa-93a5-37e7-a274-0f35cf17b782,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
d3e66c59-5daf-3702-8c66-174c7acea506,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
c1da7e5f-3e37-3d71-b2ab-c3c5519905dc,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
aa7999f7-711c-37a3-b46d-58c1e20ebe2f,,"['Option B', 'Option A']",,Commercial,TOU-GS-3,TRUE,17609,"['Option CPP', '2kV - 50kV']"
d8166d3d-ed3b-54e5-8d4e-a52db48c1450,Secondary,,,Commercial,A-10,TRUE,14328,
64404309-cbf9-5046-b2fe-ed652d733ef2,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
f49d3e7b-1a6f-5263-ba54-0039b9ffb898,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
6a3bdea5-30f1-5dcb-9d72-2dc9e74b0592,,"['(X}', '(W}', 'Poly']",,Commercial,A-6,TRUE,14328,
9a0a296d-5a32-568d-adbe-4b7fb38da81f,Secondary,"['Option R', 'Voluntary']",,Commercial,E-19,TRUE,14328,
01e7047b-d220-5686-8611-5f85911d3764,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
5d4f80c4-e4ef-5d9c-a6e7-0028b0bf24ec,Secondary,,,Commercial,A-10,TRUE,14328,
6e8df0fd-9e9e-573f-aa8c-e3cac9940b53,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
71aad390-c73a-5ba3-a9e4-50752129475d,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
aeb99bf0-9fee-5c86-8cd3-6c41f58ac3aa,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
cebbf833-4ea3-5887-ad69-d7717a1c2544,Secondary,,,Commercial,A-10,TRUE,14328,
479df1d7-5638-5347-98ff-a13ddef11f97,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
345e2329-3582-5f19-904c-7855c1b57399,,,Single,Commercial,A-1 Small General Service,TRUE,14328,
1b7c7426-5a7e-3152-b92a-8ba1a46f05b3,Secondary,"['Option R', 'Voluntary']",,Commercial,E-19,TRUE,14328,
b421bddb-9f10-5791-8674-17a6db44916d,Secondary,"['Option R', 'Voluntary']",,Commercial,E-19,TRUE,14328,
